Date,Open,High,Low,Close,Adj Close,Volume
2020-05-12,38.844654,39.219360,37.470726,37.470726,37.007362,15316309
2020-05-13,37.470726,37.595627,34.223263,36.159252,35.712112,37748716
2020-05-14,35.097580,36.846214,34.223263,35.597191,35.156994,22450390
2020-05-15,35.035130,35.347385,34.223263,34.285713,33.861732,20573853
2020-05-18,35.846996,40.530834,35.846996,39.156910,38.672688,40761164
2020-05-19,39.281811,39.781422,38.032787,38.782200,38.302616,17371177
2020-05-20,39.531616,40.405933,39.281811,40.093678,39.597878,14617395
2020-05-21,40.093678,40.905544,39.531616,40.468384,39.967949,15823729
2020-05-22,40.468384,40.468384,39.156910,40.031227,39.536198,11142490
2020-05-26,42.404373,43.341141,42.404373,42.466824,41.941673,20737901
2020-05-27,45.277126,46.401249,44.277908,45.526932,44.963943,23658613
2020-05-28,46.775955,46.775955,42.092117,42.341919,41.818314,22211707
2020-05-29,40.967995,41.967213,40.218578,41.030445,40.523056,20704179
2020-06-01,41.092896,42.591724,40.530834,42.217018,41.694954,12037989
2020-06-02,43.091335,44.839970,42.841530,44.028103,43.483646,18186261
2020-06-03,45.089775,46.338799,44.839970,45.964092,45.395699,19666472
2020-06-04,45.651836,48.399689,44.777519,48.337238,47.739498,20046673
2020-06-05,52.771271,53.458237,48.899296,49.211552,48.602989,26870832
2020-06-08,51.334896,53.520687,50.647930,52.833725,52.180378,25373263
2020-06-09,51.147541,51.272442,49.336456,50.085869,49.466507,18837938
2020-06-10,49.773613,49.836067,46.963310,47.525372,46.937668,18727339
2020-06-11,44.090553,45.901638,42.716629,43.403591,42.866856,19936027
2020-06-12,45.839188,46.401249,44.215458,45.277126,44.717224,16170335
2020-06-15,43.403591,45.901638,42.779079,45.214676,44.655540,16358978
2020-06-16,48.274784,48.337238,45.526932,46.651054,46.074162,15718094
2020-06-17,46.838406,47.025761,44.964870,45.214676,44.655540,12043209
2020-06-18,44.527714,45.714287,43.840748,45.464481,44.902267,12553512
